Store Name,Street Address,Locality,Zip Code,Phone Number
Caffe Latte,6254 Wilshire Blvd,"Los Angeles,?",90048,(323) 936-5213
Bourgeois Pig,5931 Franklin Ave,"Los Angeles,?",90028,(323) 464-6008
Intelligentsia Coffee,3922 W Sunset Blvd,"Los Angeles,?",90029,(323) 663-6173
Beard Papa Sweet Cafe,6801 Hollywood Blvd Ste 157,"Los Angeles,?",90028,(323) 462-6100
Groundwork Coffee Inc,1501 N Cahuenga Blvd,"Los Angeles,?",90028,(323) 871-0143
The Downbeat Cafe,1202 N Alvarado St,"Los Angeles,?",90026,(213) 483-3955
Habibi Cafe,923 Broxton Ave,"Los Angeles,?",90024,(310) 824-2277
Sabor Y Cultura,5625 Hollywood Blvd,"Los Angeles,?",90028,(323) 466-0481
The Wood Cafe,12000 W Washington Blvd,"Los Angeles,?",90066,(310) 915-9663
The Apple Pan,10801 W Pico Blvd,"Los Angeles,?",90064,(310) 475-3585
Good Microbrew & Grill,3725 W Sunset Blvd,"Los Angeles,?",90026,(323) 660-3645
The Standard Hollywood,8300 W Sunset Blvd,"Los Angeles,?",90069,(323) 650-9090
Literati Cafe,12081 Wilshire Blvd,"Los Angeles,?",90025,(310) 231-7484
Cafe Stella,3932 W Sunset Blvd,"Los Angeles,?",90029,(323) 666-0265
Cafe Brasil,10831 Venice Blvd,"Los Angeles,?",90034,(310) 837-8957
Swork Coffee,2160 Colorado Blvd,"Los Angeles,?",90041,(323) 258-5600
Nick's Coffee Shop & Deli,8536 W Pico Blvd,"Los Angeles,?",90035,(310) 652-3567
Coral Tree Cafe,11645 San Vicente Blvd,"Los Angeles,?",90049,(310) 979-8733
House Of Pies,1869 N Vermont Ave,"Los Angeles,?",90027,(323) 666-9961
Amandine Patissiere,12225 Wilshire Blvd,"Los Angeles,?",90025,(310) 979-3211
Cafe Bella Roma,1513 S Robertson Blvd,"Los Angeles,?",90035,(310) 277-7662
Lulu's Cafe,7149 Beverly Blvd,"Los Angeles,?",90036,(323) 938-6095
Pipers Restaurant,222 N Western Ave,"Los Angeles,?",90004,(323) 465-7701
Maxwell Cafe,13329 W Washington Blvd,"Los Angeles,?",90066,(310) 306-7829
Pann's Restaurant,6710 La Tijera Blvd,"Los Angeles,?",90045,(323) 776-3770
Fratelli Cafe,7200 Melrose Ave,"Los Angeles,?",90046,(323) 938-2233
Sunny Grill,12035 Venice Blvd,"Los Angeles,?",90066,(310) 390-8989
Suehiro Cafe,337 E 1st St,"Los Angeles,?",90012,(213) 626-9132
Starbucks Coffee,4520 W Sunset Blvd,"Los Angeles,?",90027,(323) 662-8107
Elf Cafe,2135 W Sunset Blvd,"Los Angeles,?",90026,(213) 484-6829
